match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Total,82,1,2,46,24,36,19,13,7,76,37,18,11,5,33,13,18
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Total,76,2,11,50,33,26,6,13,7,82,39,30,12,13,53,25,17
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,1,37,1,0,21,10,16,11,8,6,29,14,8,3,3,11,5,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,1,29,2,4,19,13,10,2,4,1,37,16,12,2,6,23,10,9
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,2,24,0,2,14,7,10,2,4,1,19,6,5,4,1,11,3,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,2,19,0,4,13,11,6,2,1,1,24,15,11,5,6,9,2,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,3,21,0,0,11,7,10,6,1,0,28,17,5,4,1,11,5,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,3,28,0,3,18,9,10,2,8,5,21,8,7,5,1,21,13,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Total,54,0,1,42,28,12,4,4,2,49,27,12,7,5,30,18,11
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Total,49,0,7,30,16,19,6,7,2,54,22,11,8,3,32,17,8
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,1,28,0,1,20,13,8,2,4,2,27,16,9,5,4,18,12,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,1,27,0,4,15,8,12,3,5,2,28,13,5,3,2,15,9,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,2,26,0,0,22,15,4,2,0,0,22,11,3,2,1,12,6,6
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,2,22,0,3,15,8,7,3,2,0,26,9,6,5,1,17,8,6
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Total,112,12,2,79,50,33,17,9,5,142,65,49,21,11,41,19,20
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Total,142,1,3,108,56,34,21,20,13,112,45,47,25,19,51,21,27
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,1,45,7,1,35,19,10,2,6,3,51,25,17,7,2,14,5,8
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,1,51,0,2,36,20,15,6,8,5,45,24,26,16,10,21,7,12
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,2,25,0,0,16,12,9,6,2,2,38,17,12,6,4,9,4,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,2,38,0,0,31,16,7,5,4,2,25,7,7,2,3,10,4,6
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,3,42,5,1,28,19,14,9,1,0,53,23,20,8,5,18,10,7
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,3,53,1,1,41,20,12,10,8,6,42,14,14,7,6,20,10,9
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Total,52,0,4,37,25,15,8,4,3,47,28,15,7,6,11,3,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Total,47,1,3,30,16,17,3,7,2,52,19,16,5,6,31,13,15
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,1,30,0,3,20,13,10,6,2,1,31,16,8,2,5,8,3,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,1,31,1,3,22,14,9,1,3,1,30,11,10,2,4,14,6,5
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,2,22,0,1,17,12,5,2,2,2,16,12,7,5,1,3,0,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,2,16,0,0,8,2,8,2,4,1,22,8,6,3,2,17,7,10
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Total,56,2,7,37,21,19,5,11,6,59,22,17,10,4,40,22,11
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,Total,59,0,4,43,29,16,8,7,6,56,30,11,4,3,19,12,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,1,34,1,6,20,11,14,5,6,3,22,8,8,4,2,21,12,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,1,22,0,3,15,10,7,4,2,1,34,18,4,3,1,10,5,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,2,22,1,1,17,10,5,0,5,3,37,14,9,6,2,19,10,8
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,2,37,0,1,28,19,9,4,5,5,22,12,7,1,2,9,7,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,Total,62,0,2,41,31,21,10,7,6,66,30,14,11,3,35,20,13
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,Total,66,2,3,46,29,20,7,10,7,62,21,11,4,5,38,26,9
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,1,39,0,2,27,20,12,5,6,6,31,13,10,7,3,19,10,7
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,1,31,1,1,22,14,9,4,6,5,39,14,7,2,4,18,15,2
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,2,23,0,0,14,11,9,5,1,0,35,17,4,4,0,16,10,6
