match_id,player,row,snv_pts,pts_won,aces,unret,return_forced,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,SnV,8,2,0,0,1,1,0,4,1,0,22
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,SnV1st,7,2,0,0,1,1,0,4,1,0,16
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,SnV2nd,1,0,0,0,0,0,0,0,0,0,6
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,nonSnV,131,75,1,2,13,9,4,1,1,0,565
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,nonSnV1st,101,54,1,2,9,8,2,1,1,0,418
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,nonSnV2nd,30,21,0,0,4,1,2,0,0,0,147
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,1,SnV,1,0,0,0,0,0,0,1,0,0,2
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,1,SnV1st,1,0,0,0,0,0,0,1,0,0,2
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,1,nonSnV,53,35,10,2,5,2,0,1,0,1,141
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,1,nonSnV1st,26,20,8,2,4,2,0,1,0,0,56
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,1,nonSnV2nd,27,15,2,0,1,0,0,0,0,1,85
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,2,SnV,1,0,0,0,0,0,0,0,0,0,4
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,2,SnV1st,1,0,0,0,0,0,0,0,0,0,4
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,2,nonSnV,105,60,1,1,9,5,0,1,5,1,460
