match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Total,296,54,16,7,31,58,135,161
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Fside,150,27,11,3,13,30,76,74
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Bside,146,27,5,4,18,28,59,87
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Fgs,146,23,7,3,13,30,72,74
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Bgs,138,25,4,3,18,28,55,83
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Base,291,50,12,7,31,58,130,161
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Net,5,4,4,0,0,0,5,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Gs,260,45,11,6,28,54,119,141
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Dr,3,1,1,0,0,0,2,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Lo,4,1,0,1,0,0,1,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Vo,2,2,2,0,0,0,2,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Ov,2,2,2,0,0,0,2,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Hv,1,0,0,0,0,0,1,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,F,142,23,7,3,13,29,69,73
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,B,118,22,4,3,15,25,50,68
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,R,4,0,0,0,0,1,3,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,S,20,3,0,0,3,3,5,15
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Y,3,1,1,0,0,0,2,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,M,4,1,0,1,0,0,1,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,V,2,2,2,0,0,0,2,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,O,2,2,2,0,0,0,2,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,I,1,0,0,0,0,0,1,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Total,318,80,25,13,42,76,167,151
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Fside,179,52,17,9,26,41,108,71
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Bside,139,28,8,4,16,35,59,80
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Fgs,160,42,9,8,25,41,96,64
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Bgs,133,24,6,2,16,35,55,78
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Base,301,70,17,12,41,76,156,145
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Net,17,10,8,1,1,0,11,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Gs,281,65,14,10,41,76,143,138
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Dr,4,2,1,1,0,0,3,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Lo,4,2,1,1,0,0,2,2
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Vo,5,1,1,0,0,0,3,2
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Hv,5,2,2,0,0,0,2,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Sw,7,7,5,1,1,0,6,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,F,153,42,9,8,25,41,90,63
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,B,128,23,5,2,16,35,53,75
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,R,7,0,0,0,0,0,6,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,S,5,1,1,0,0,0,2,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,U,1,0,0,0,0,0,1,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Y,3,2,1,1,0,0,2,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,L,3,1,0,1,0,0,1,2
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,M,1,1,1,0,0,0,1,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,V,4,1,1,0,0,0,3,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Z,1,0,0,0,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,H,5,2,2,0,0,0,2,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,J,6,6,5,0,1,0,5,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,K,1,1,0,1,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Total,208,51,12,10,29,42,119,89
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Fside,107,30,7,5,18,13,63,44
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Bside,101,21,5,5,11,29,56,45
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Fgs,101,25,5,3,17,13,59,42
