match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F-XC,34,9,0,2,7,20,14
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F-DTM,23,3,0,0,3,14,9
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F-DTL,12,5,0,1,4,5,7
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F-IO,11,4,4,0,0,9,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F-II,2,1,0,0,1,0,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,B-XC,19,5,2,2,1,12,7
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,B-DTM,16,2,0,0,2,12,4
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,B-DTL,9,5,0,2,3,4,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,B-IO,8,1,0,1,0,6,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,S-XC,6,0,0,0,0,2,4
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,S-DTM,6,0,0,0,0,1,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,S-DTL,2,0,0,0,0,1,1
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,F-XC,45,11,3,0,8,18,27
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,F-DTM,19,3,0,0,3,6,13
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,F-DTL,10,2,0,0,2,4,6
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,F-IO,14,7,4,1,2,8,6
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,B-XC,24,5,1,2,2,13,11
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,B-DTM,29,3,0,0,3,6,23
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,B-DTL,3,1,0,0,1,0,3
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,B-IO,1,0,0,0,0,0,1
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,S-DTM,4,0,0,0,0,1,3
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,S-DTL,2,0,0,0,0,1,1
