match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,Total,76,37,58,26,54,26,2,336
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,v1st,50,17,43,17,40,17,1,223
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,v2nd,15,9,15,9,14,9,1,102
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,fh,32,15,30,15,28,15,2,177
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,bh,28,11,28,11,26,11,0,143
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,gs,56,24,54,24,50,24,2,302
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,sl,4,2,4,2,4,2,0,18
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,D,34,11,28,11,25,11,1,131
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,A,31,15,30,15,29,15,1,194
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4,16,5,12,5,12,5,1,75
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5,28,13,28,13,24,13,1,139
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6,21,8,18,8,18,8,0,111
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4D,10,3,6,3,6,3,1,33
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4A,6,2,6,2,6,2,0,42
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5D,13,4,13,4,10,4,0,53
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5A,15,9,15,9,14,9,1,86
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6D,11,4,9,4,9,4,0,45
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6A,10,4,9,4,9,4,0,66
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,Total,82,39,76,37,64,37,2,363
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,v1st,46,22,42,22,37,22,1,214
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,v2nd,34,15,34,15,27,15,1,147
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,fh,41,23,41,23,33,23,1,194
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,bh,37,14,35,14,31,14,1,165
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,gs,78,37,76,37,64,37,2,359
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,D,44,23,40,23,33,23,1,187
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,A,36,14,36,14,31,14,1,174
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,4,16,7,16,7,11,7,0,67
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,5,38,16,37,16,31,16,2,162
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,6,26,14,23,14,22,14,0,132
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,4D,12,7,12,7,8,7,0,55
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,4A,4,0,4,0,3,0,0,12
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,5D,17,9,16,9,14,9,1,62
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,5A,21,7,21,7,17,7,1,100
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,6D,15,7,12,7,11,7,0,70
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,6A,11,7,11,7,11,7,0,62
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Total,49,27,42,20,37,20,1,231
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,v1st,30,14,30,14,27,14,0,174
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,v2nd,12,6,12,6,10,6,1,50
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,7,9,4,9,4,9,4,0,53
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,89,27,15,27,15,27,15,0,164
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,9,9,6,9,6,9,6,0,69
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,fh,13,6,13,6,11,6,1,53
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,bh,29,14,29,14,26,14,0,171
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,gs,40,20,40,20,36,20,1,220
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,sl,2,0,2,0,1,0,0,4
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,D,22,9,22,9,19,9,0,107
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,A,20,11,20,11,18,11,1,117
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4,14,7,14,7,12,7,0,63
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5,16,8,16,8,14,8,1,96
