match_id,row,pts,pl1_won,pl1_winners,pl1_forced,pl1_unforced,pl2_won,pl2_winners,pl2_forced,pl2_unforced
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,Total,158,80,17,10,31,78,27,18,42
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1-3,77,46,8,4,13,31,7,9,23
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1-3-1,38,26,6,3,7,12,2,1,17
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1-3-2,39,20,2,1,6,19,5,8,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,4-6,44,18,5,2,12,26,10,4,11
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,4-6-1,25,6,1,1,9,19,6,4,4
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,4-6-2,19,12,4,1,3,7,4,0,7
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,7-9,22,7,2,3,3,15,9,3,2
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,7-9-1,12,5,2,2,1,7,4,2,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,7-9-2,10,2,0,1,2,8,5,1,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,10,15,9,2,1,3,6,1,2,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,10-1,7,6,2,1,1,1,0,0,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,10-2,8,3,0,0,2,5,1,2,3
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,Total,103,59,12,15,29,44,11,3,25
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1-3,52,30,4,6,16,22,4,1,13
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1-3-1,26,17,3,6,7,9,1,0,8
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1-3-2,26,13,1,0,9,13,3,1,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,4-6,28,13,4,2,9,15,4,2,7
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,4-6-1,17,4,1,1,7,13,4,2,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,4-6-2,11,9,3,1,2,2,0,0,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,7-9,12,8,3,2,2,4,2,0,3
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,7-9-1,7,7,3,1,0,0,0,0,3
