match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Total,267,52,12,20,20,69,147,120
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Fside,151,27,5,10,12,34,80,71
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Bside,116,25,7,10,8,35,67,49
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Fgs,144,23,5,10,8,34,79,65
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Bgs,107,22,5,10,7,35,65,42
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Base,260,45,10,20,15,69,145,115
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Net,7,7,2,0,5,0,2,5
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Gs,224,41,10,17,14,62,133,91
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Lo,9,0,0,0,0,0,1,8
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Vo,4,4,1,0,3,0,1,3
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Ov,3,3,1,0,2,0,1,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,F,136,21,5,8,8,31,76,60
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,B,88,20,5,9,6,31,57,31
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,R,8,2,0,2,0,3,3,5
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,S,19,2,0,1,1,4,8,11
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,L,3,0,0,0,0,0,1,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,M,6,0,0,0,0,0,0,6
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,V,2,2,0,0,2,0,0,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Z,2,2,1,0,1,0,1,1
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,O,2,2,0,0,2,0,0,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,P,1,1,1,0,0,0,1,0
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Total,280,82,18,23,41,65,127,153
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Fside,162,53,14,13,26,38,78,84
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Bside,118,29,4,10,15,27,49,69
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Fgs,132,37,4,7,26,38,50,82
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Bgs,74,8,0,2,6,27,25,49
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Base,215,48,4,11,33,65,81,134
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Net,65,34,14,12,8,0,46,19
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Gs,159,43,4,8,31,48,58,101
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Dr,5,2,0,1,1,0,3,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Lo,4,1,0,1,0,0,3,1
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Vo,49,27,10,9,8,0,35,14
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Ov,7,5,4,1,0,0,6,1
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Hv,9,2,0,2,0,0,5,4
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,F,115,36,4,6,26,23,42,73
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,B,44,7,0,2,5,25,16,28
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,R,17,1,0,1,0,15,8,9
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,S,30,1,0,0,1,2,9,21
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,U,1,0,0,0,0,0,1,0
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Y,4,2,0,1,1,0,2,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,L,1,1,0,1,0,0,1,0
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,M,3,0,0,0,0,0,2,1
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,V,22,11,7,4,0,0,20,2
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,Z,27,16,3,5,8,0,15,12
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,O,5,4,3,1,0,0,5,0
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,P,2,1,1,0,0,0,1,1
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,H,1,0,0,0,0,0,1,0
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,2,I,8,2,0,2,0,0,4,4
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Total,215,64,28,15,21,50,134,81
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Fside,101,43,19,12,12,16,65,36
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Bside,114,21,9,3,9,34,69,45
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Fgs,90,35,13,11,11,16,57,33
